as_of_date,index_name,index_code,ticker,yahoo_ticker,name_cn,name_en,exchange,exchange_cn,weight_pct
2026-06-04,CSI 500,000905,000783,000783.SZ,长江证券,Changjiang Securities Company Limited,Shenzhen Stock Exchange,深圳证券交易所,0.256
2026-06-04,CSI 500,000905,000785,000785.SZ,居然智家,"EASYHOME NEW RETAIL GROUP CO., LTD",Shenzhen Stock Exchange,深圳证券交易所,0.057
2026-06-04,CSI 500,000905,000825,000825.SZ,太钢不锈,Shanxi Taigang Stainless Steel Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.084
2026-06-04,CSI 500,000905,000830,000830.SZ,鲁西化工,"Luxi Chemical Group Co.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.141
2026-06-04,CSI 500,000905,000831,000831.SZ,中国稀土,"CHINA RARE EARTH RESOURCES AND TECHNOLOGY CO., LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.344
2026-06-04,CSI 500,000905,000878,000878.SZ,云南铜业,Yunnan Copper Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.245
2026-06-04,CSI 500,000905,000883,000883.SZ,湖北能源,Hubei Energy Group Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.107
2026-06-04,CSI 500,000905,000887,000887.SZ,中鼎股份,"Anhui Zhongding Sealing Parts Co.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.159
2026-06-04,CSI 500,000905,000893,000893.SZ,亚钾国际,"Asia-Potash International Investment (Guangzhou) Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.233
2026-06-04,CSI 500,000905,000898,000898.SZ,鞍钢股份,Angang Steel Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.046
2026-06-04,CSI 500,000905,000921,000921.SZ,海信家电,"HISENSE HOME APPLIANCES GROUP CO.,LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.108
2026-06-04,CSI 500,000905,000932,000932.SZ,华菱钢铁,Hunan Valin Steel Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.131
2026-06-04,CSI 500,000905,000933,000933.SZ,神火股份,Henan Shen Huo Coal Industry and Electricity Power Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.434
2026-06-04,CSI 500,000905,000937,000937.SZ,冀中能源,Jizhong Energy Resources Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.055
2026-06-04,CSI 500,000905,000951,000951.SZ,中国重汽,CNHTC Jinan Truck Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.12
2026-06-04,CSI 500,000905,000958,000958.SZ,电投产融,"SPIC Industry-Finance Holdings Co., Ltd",Shenzhen Stock Exchange,深圳证券交易所,0.09
2026-06-04,CSI 500,000905,000959,000959.SZ,首钢股份,Beijing Shougang Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.053
2026-06-04,CSI 500,000905,000960,000960.SZ,锡业股份,Yunnan Tin Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.351
2026-06-04,CSI 500,000905,000967,000967.SZ,盈峰环境,Infore Environment Technology Group Co. Ltd.,Shenzhen Stock Exchange,深圳证券交易所,0.128
2026-06-04,CSI 500,000905,000987,000987.SZ,越秀资本,"GUANGZHOU YUEXIU CAPITAL HOLDINGS GROUP CO., LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.115
2026-06-04,CSI 500,000905,000997,000997.SZ,新 大 陆,"Newland Digital Technology Co.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.139
2026-06-04,CSI 500,000905,001213,001213.SZ,中铁特货,"China Railway Special Cargo Logistics Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.032
2026-06-04,CSI 500,000905,001221,001221.SZ,悍高集团,"Higold Group Co.,LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.018
2026-06-04,CSI 500,000905,001286,001286.SZ,陕西能源,"SHAANXI ENERGY INVESTMENT CO., LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.091
2026-06-04,CSI 500,000905,001389,001389.SZ,广合科技,Delton Technology (Guangzhou) Inc.,Shenzhen Stock Exchange,深圳证券交易所,0.317
2026-06-04,CSI 500,000905,001696,001696.SZ,宗申动力,Chongqing Zongshen Power Machinery Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.112
2026-06-04,CSI 500,000905,002007,002007.SZ,华兰生物,Hualan Biological Engineering INC,Shenzhen Stock Exchange,深圳证券交易所,0.143
2026-06-04,CSI 500,000905,002008,002008.SZ,大族激光,"Han's Laser Technology Industry Group Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,1.03
