as_of_date,index_name,index_code,ticker,yahoo_ticker,name_cn,name_en,exchange,exchange_cn,weight_pct
2026-06-04,CSI 300,000300,000001,000001.SZ,平安银行,"Ping An Bank Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.397
2026-06-04,CSI 300,000300,000002,000002.SZ,万科A,China Vanke Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.09
2026-06-04,CSI 300,000300,000063,000063.SZ,中兴通讯,ZTE Corporation,Shenzhen Stock Exchange,深圳证券交易所,0.443
2026-06-04,CSI 300,000300,000100,000100.SZ,TCL科技,TCL Technology Group Corporation,Shenzhen Stock Exchange,深圳证券交易所,0.333
2026-06-04,CSI 300,000300,000157,000157.SZ,中联重科,Zoomlion Heavy Industry Science & Technology Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.134
2026-06-04,CSI 300,000300,000166,000166.SZ,申万宏源,"Shenwan Hongyuan Group CO., LTD",Shenzhen Stock Exchange,深圳证券交易所,0.149
2026-06-04,CSI 300,000300,000301,000301.SZ,东方盛虹,"Jiangsu Eastern Shenghong Co.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.119
2026-06-04,CSI 300,000300,000333,000333.SZ,美的集团,"Midea Group CO., LTD",Shenzhen Stock Exchange,深圳证券交易所,1.49
2026-06-04,CSI 300,000300,000338,000338.SZ,潍柴动力,Wei Chai Power Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.717
2026-06-04,CSI 300,000300,000408,000408.SZ,藏格矿业,ZANGGE MINING COMPANY LIMITED,Shenzhen Stock Exchange,深圳证券交易所,0.227
2026-06-04,CSI 300,000300,000425,000425.SZ,徐工机械,XCMG Construction Machinery Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.343
2026-06-04,CSI 300,000300,000538,000538.SZ,云南白药,"Yunnan Baiyao Group Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.167
2026-06-04,CSI 300,000300,000568,000568.SZ,泸州老窖,Luzhou Lao Jiao Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.251
2026-06-04,CSI 300,000300,000596,000596.SZ,古井贡酒,Anhui Gujing Distillery Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.057
2026-06-04,CSI 300,000300,000617,000617.SZ,中油资本,CNPC Capital Company Limited,Shenzhen Stock Exchange,深圳证券交易所,0.074
2026-06-04,CSI 300,000300,000625,000625.SZ,长安汽车,Chongqing Changan Automobile Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.147
2026-06-04,CSI 300,000300,000630,000630.SZ,铜陵有色,Tongling Nonferrous Metals Group Co. Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.208
2026-06-04,CSI 300,000300,000651,000651.SZ,格力电器,"Gree Electric Appliances,Inc. of Zhuhai",Shenzhen Stock Exchange,深圳证券交易所,0.657
2026-06-04,CSI 300,000300,000661,000661.SZ,长春高新,Chang Chun High and New Technology Industry (Group) Inc.,Shenzhen Stock Exchange,深圳证券交易所,0.09
2026-06-04,CSI 300,000300,000708,000708.SZ,中信特钢,"CITIC Pacific Special Steel Group Co., Ltd",Shenzhen Stock Exchange,深圳证券交易所,0.053
2026-06-04,CSI 300,000300,000725,000725.SZ,京东方A,BOE Technology Group Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.703
