as_of_date,index_name,index_code,ticker,yahoo_ticker,name_cn,name_en,exchange,exchange_cn,weight_pct
2026-06-04,CSI 1000,000852,000012,000012.SZ,南  玻A,CSG Holding Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.06
2026-06-04,CSI 1000,000852,000019,000019.SZ,深粮控股,"SHENZHEN CEREALS HOLDINGS CO.,LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.023
2026-06-04,CSI 1000,000852,000028,000028.SZ,国药一致,China National Accord Medicines Corporation Ltd.,Shenzhen Stock Exchange,深圳证券交易所,0.049
2026-06-04,CSI 1000,000852,000029,000029.SZ,深深房A,"Shenzhen Special Economic Zone Real Estate and Properties (Group) Co.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.071
2026-06-04,CSI 1000,000852,000030,000030.SZ,富奥股份,FAWER Automotive Parts Company,Shenzhen Stock Exchange,深圳证券交易所,0.025
2026-06-04,CSI 1000,000852,000035,000035.SZ,中国天楹,China Tianying Inc.,Shenzhen Stock Exchange,深圳证券交易所,0.106
2026-06-04,CSI 1000,000852,000048,000048.SZ,京基智农,"SHENZHEN KINGKEY SMART AGRICULTURE TIMES CO.,LTD",Shenzhen Stock Exchange,深圳证券交易所,0.036
2026-06-04,CSI 1000,000852,000049,000049.SZ,德赛电池,Shenzhen Desay Battery Technology Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.063
2026-06-04,CSI 1000,000852,000058,000058.SZ,深赛格,Shenzhen SEG Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.023
2026-06-04,CSI 1000,000852,000059,000059.SZ,华锦股份,"North Huajin Chemical Industries Co., Ltd",Shenzhen Stock Exchange,深圳证券交易所,0.046
2026-06-04,CSI 1000,000852,000061,000061.SZ,农 产 品,Shenzhen Agricultural Products Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.055
2026-06-04,CSI 1000,000852,000065,000065.SZ,北方国际,Norinco International Cooperation Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.077
2026-06-04,CSI 1000,000852,000089,000089.SZ,深圳机场,Shenzhen Airport Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.075
2026-06-04,CSI 1000,000852,000099,000099.SZ,中信海直,Citic Offshore Helicopter Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.091
2026-06-04,CSI 1000,000852,000156,000156.SZ,华数传媒,"WASU MEDIA HOLDING CO., LTD",Shenzhen Stock Exchange,深圳证券交易所,0.069
2026-06-04,CSI 1000,000852,000403,000403.SZ,派林生物,"Pacific Shuanglin Bio-pharmacy Co., LTD",Shenzhen Stock Exchange,深圳证券交易所,0.092
2026-06-04,CSI 1000,000852,000420,000420.SZ,吉林化纤,Jilin Chemical Fibre Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.094
2026-06-04,CSI 1000,000852,000422,000422.SZ,湖北宜化,Hubei Yihua Chemical Industry Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.132
2026-06-04,CSI 1000,000852,000498,000498.SZ,山东路桥,"SHANDONG HI-SPEED ROAD&BRIDGE CO., LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.035
2026-06-04,CSI 1000,000852,000503,000503.SZ,国新健康,"China Reform Health Management and Services Group Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.06
2026-06-04,CSI 1000,000852,000543,000543.SZ,皖能电力,An Hui Wenergy Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.12
2026-06-04,CSI 1000,000852,000550,000550.SZ,江铃汽车,Jiangling Motors Corp Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.037
2026-06-04,CSI 1000,000852,000552,000552.SZ,甘肃能化,"GANSU ENERGY CHEMICAL CO.,LTD",Shenzhen Stock Exchange,深圳证券交易所,0.063
2026-06-04,CSI 1000,000852,000555,000555.SZ,神州信息,Digital China Information Service Group Company Ltd.,Shenzhen Stock Exchange,深圳证券交易所,0.081
2026-06-04,CSI 1000,000852,000557,000557.SZ,西部创业,"Ningxia Western Venture Industrial Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.039
2026-06-04,CSI 1000,000852,000567,000567.SZ,海德股份,"HAINAN HAIDE CAPITAL MANAGEMENT CO., LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.039
2026-06-04,CSI 1000,000852,000581,000581.SZ,威孚高科,Weifu High-Technology Group Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.099
2026-06-04,CSI 1000,000852,000589,000589.SZ,贵州轮胎,Gui Zhou Tyre Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.063
2026-06-04,CSI 1000,000852,000597,000597.SZ,东北制药,Northeast Pharmaceutical Group Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.036
2026-06-04,CSI 1000,000852,000600,000600.SZ,建投能源,Hebei Jointo Energy Investment Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.097
2026-06-04,CSI 1000,000852,000603,000603.SZ,盛达资源,"Shengda Resources Co.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.138
2026-06-04,CSI 1000,000852,000612,000612.SZ,焦作万方,Jiaozuo Wanfang Aluminium Manufacturing Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.119
2026-06-04,CSI 1000,000852,000620,000620.SZ,盈新发展,Winnovation Culturaltainment Development Limited,Shenzhen Stock Exchange,深圳证券交易所,0.088
2026-06-04,CSI 1000,000852,000628,000628.SZ,高新发展,Chengdu Hi-tech Development Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.115
2026-06-04,CSI 1000,000852,000636,000636.SZ,风华高科,Guangdong Fenghua Advanced Technology (Holding) Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.462
2026-06-04,CSI 1000,000852,000650,000650.SZ,仁和药业,"Renhe Pharmacy Co.,Ltd",Shenzhen Stock Exchange,深圳证券交易所,0.064
2026-06-04,CSI 1000,000852,000672,000672.SZ,上峰水泥,"GANSU SHANGFENG CEMENT CO., LTD",Shenzhen Stock Exchange,深圳证券交易所,0.089
2026-06-04,CSI 1000,000852,000676,000676.SZ,智度股份,"Genimous Technology CO.,LTD",Shenzhen Stock Exchange,深圳证券交易所,0.063
2026-06-04,CSI 1000,000852,000680,000680.SZ,山推股份,Shantui Construction Machinery Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.104
2026-06-04,CSI 1000,000852,000681,000681.SZ,视觉中国,"VISUAL CHINA GROUP CO.,LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.109
2026-06-04,CSI 1000,000852,000682,000682.SZ,东方电子,"Dongfang Electronics Co.,Ltd",Shenzhen Stock Exchange,深圳证券交易所,0.121
2026-06-04,CSI 1000,000852,000685,000685.SZ,中山公用,Zhongshan Public Utilities Group Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.091
2026-06-04,CSI 1000,000852,000686,000686.SZ,东北证券,Northeast Securities Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.12
2026-06-04,CSI 1000,000852,000688,000688.SZ,国城矿业,"Guocheng Mining CO.,LTD",Shenzhen Stock Exchange,深圳证券交易所,0.161
2026-06-04,CSI 1000,000852,000690,000690.SZ,宝新能源,"Guangdong Baolihua New Energy Stock Co.,Ltd",Shenzhen Stock Exchange,深圳证券交易所,0.145
2026-06-04,CSI 1000,000852,000712,000712.SZ,锦龙股份,Guangdong Golden Dragon Development Inc.,Shenzhen Stock Exchange,深圳证券交易所,0.076
2026-06-04,CSI 1000,000852,000719,000719.SZ,中原传媒,Central China Land Media Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.043
2026-06-04,CSI 1000,000852,000727,000727.SZ,冠捷科技,"TPV Technology Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.08
2026-06-04,CSI 1000,000852,000737,000737.SZ,北方铜业,"NORTH COPPER (SHANXI) CO., LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.142
2026-06-04,CSI 1000,000852,000756,000756.SZ,新华制药,Shandong Xinhua Pharmaceutical Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.043
2026-06-04,CSI 1000,000852,000758,000758.SZ,中色股份,China Nonferrous Metal Industry's Foreign Engineering & Construction Corp,Shenzhen Stock Exchange,深圳证券交易所,0.1
2026-06-04,CSI 1000,000852,000761,000761.SZ,本钢板材,Bengang Steel Plates Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.02
2026-06-04,CSI 1000,000852,000762,000762.SZ,西藏矿业,Tibet Mineral Development Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.133
2026-06-04,CSI 1000,000852,000766,000766.SZ,通化金马,Tonghua Golden-Horse Pharmaceutical Industry Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.241
2026-06-04,CSI 1000,000852,000767,000767.SZ,晋控电力,"Jinneng Holding Shanxi Electric Power Co., LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.111
2026-06-04,CSI 1000,000852,000778,000778.SZ,新兴铸管,Xinxing Ductile Iron Pipes Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.115
2026-06-04,CSI 1000,000852,000791,000791.SZ,甘肃能源,"GEPIC Energy Development Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.103
2026-06-04,CSI 1000,000852,000795,000795.SZ,英洛华,"Innuovo Technology Co.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.065
2026-06-04,CSI 1000,000852,000801,000801.SZ,四川九洲,Sichuan Jiuzhou Electric Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.082
2026-06-04,CSI 1000,000852,000810,000810.SZ,创维数字,"SKYWORTH DIGITAL CO., LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.071
2026-06-04,CSI 1000,000852,000811,000811.SZ,冰轮环境,"Moon Environment Technology Co.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.246
